index,mid,display_name,vibration
0,/m/09x0r,Speech,not dangerous
1,/m/0ytgt,"Child speech, kid speaking",not dangerous
2,/m/01h8n0,Conversation,not dangerous
3,/m/02qldy,"Narration, monologue",not dangerous
4,/m/0261r1,Babbling,not dangerous
5,/m/0brhx,Speech synthesizer,not dangerous
6,/m/07p6fty,Shout,not dangerous
7,/m/07q4ntr,Bellow,not dangerous
8,/m/07rwj3x,Whoop,not dangerous
9,/m/07sr1lc,Yell,not dangerous
10,/t/dd00135,Children shouting,not dangerous
11,/m/03qc9zr,Screaming,not dangerous
12,/m/02rtxlg,Whispering,not dangerous
13,/m/01j3sz,Laughter,not dangerous
14,/t/dd00001,Baby laughter,not dangerous
15,/m/07r660_,Giggle,not dangerous
16,/m/07s04w4,Snicker,not dangerous
17,/m/07sq110,Belly laugh,not dangerous
18,/m/07rgt08,"Chuckle, chortle",not dangerous
19,/m/0463cq4,"Crying, sobbing",dangerous
20,/t/dd00002,"Baby cry, infant cry",dangerous
21,/m/07qz6j3,Whimper,not dangerous
22,/m/07qw_06,"Wail, moan",not dangerous
23,/m/07plz5l,Sigh,not dangerous
24,/m/015lz1,Singing,not dangerous
25,/m/0l14jd,Choir,not dangerous
26,/m/01swy6,Yodeling,not dangerous
27,/m/02bk07,Chant,not dangerous
28,/m/01c194,Mantra,not dangerous
29,/t/dd00005,Child singing,not dangerous
30,/t/dd00006,Synthetic singing,not dangerous
31,/m/06bxc,Rapping,not dangerous
32,/m/02fxyj,Humming,not dangerous
33,/m/07s2xch,Groan,not dangerous
34,/m/07r4k75,Grunt,not dangerous
35,/m/01w250,Whistling,not dangerous
36,/m/0lyf6,Breathing,not dangerous
37,/m/07mzm6,Wheeze,not dangerous
38,/m/01d3sd,Snoring,not dangerous
39,/m/07s0dtb,Gasp,not dangerous
40,/m/07pyy8b,Pant,not dangerous
41,/m/07q0yl5,Snort,not dangerous
42,/m/01b_21,Cough,not dangerous
43,/m/0dl9sf8,Throat clearing,not dangerous
44,/m/01hsr_,Sneeze,not dangerous
45,/m/07ppn3j,Sniff,not dangerous
46,/m/06h7j,Run,not dangerous
47,/m/07qv_x_,Shuffle,not dangerous
48,/m/07pbtc8,"Walk, footsteps",not dangerous
49,/m/03cczk,"Chewing, mastication",not dangerous
50,/m/07pdhp0,Biting,not dangerous
